name,rating,review_count,place_link
Air France Museum,3.2,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fd12b2067fd:0x98a090ba90441ed4
Promuseum,4.1,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e6b8da1b46e16b:0xe87eb0ff96098ed5
Jardin des Plantes,4.6,50053,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f0d126ec6b:0xa67a22fb91573d4e
Quai de Jemmape,5.0,7,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fd83d837003:0x2e6558df4a6e3941
Monument en Souvenir de la Campagne de Tunisie 1942-1943,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f85286b9b6b:0xd7dd017f5d9f0aec
Point Zéro des Routes de France,4.5,1192,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671e170cda46b:0x16a14abd23a6dd0d
Statue d'Étienne Marcel,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671e270f2da69:0x5e06b03645eaecb7
Monument aux Indochinois morts,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e60d0076f4f601:0x2a31dc97d78d52a2
Promenade Jean-Paul Belmondo,4.8,44,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671d20d690a01:0x7f155a77872b90bf
Mausoleum of the Prince Imperial,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e663480f053701:0x47fdb6855c375a29
Notre-Dame Cathedral of Paris,4.7,81899,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671e19ff53a01:0x36401da7abfa068d
Château de Vincennes,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e672bce3f88169:0xdd022654373467c7
Paris Sewer Museum,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fda05658901:0x6723fc7871e89323
Cinémathèque Française,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e67215d9ea3303:0x56ae687ae93da4c4
Le Triomphe de Silène,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671da980be207:0xae19519548d8f046
Musée du Vieil Auvillar,4.9,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x12abc023c640456f:0x40c4eaabd36cdbc1
Place du Châtelet,4.2,1356,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f8085c2a76f:0x1404fcbecfccdb2d
Museum of Smoking,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66df6edfba807:0x6c8e8ad51990fd64
Square des arènes de Lutèce,4.4,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671efec94db07:0x97b4fe4f68077c57
Clemenceau Museum,4.6,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66ffda523a66d:0x39804a137566006b
Galerie la Ferronnerie,5.0,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66dfc86640e6d:0xf947c48d8145125
Paradox Museum Paris,4.3,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66f7e48e00e6d:0x6db16b1cae88406f
Boutiques de Musées,3.1,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x4796c853b0e52b6d:0xd1926c296d4c9d1f
Monument à Pierre Marie René Ernest Waldeck-Rousseau,4.8,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e2d72ab0f07:0xbe785cf225f45728
Dali Museum,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66e44ca858f05:0xef88ab04490097e9
Hotel de noirmoutier,4.7,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e66fd5dde3ee0b:0x4e4cfd3907712f83
Gallery of Mineralogy and Geology,4.5,,https://www.google.com/maps/place/data=!3m1!4b1!4m2!3m1!1s0x47e671f19c0be10b:0xfdd08ff66de303f9
